text,Binary_label,label,Category,origin,cell_id,split
"Beautifully appointed, professionally staffed, comfortable, well-located, and elegant, with wireless internet access (plus free access in an alcove on the second floor), fitness center (a little small but fine if you use it at the right time), good energy clientele, easy access to Michigan Avenue, next door to 24-hour restaurant, 2 blocks from 2 Starbucks, elevators that are there before you get your finger off the button - they thought of everything. Will definitely return! 
",real,0,sofitel,human_real,,train
"Our non-smoking room smelled very badly of stale cigarette smoke. We were not allowed to change rooms. Also, the concierge staff was unprofessional, telling long winded personal stories to uninterested guests while long lines formed. The location was great. Hotel is dated, but would still be a nice place to stay if it weren't for customer service issues.
",real,0,hilton,human_real,,train
"Honestly, for what they charge in Monaco, I expected far more than this underwhelming stay; the room felt dated and service was disappointingly slow throughout our entire visit.",fake,1,monaco,gemma4:e4b,short_negative_unstructured_zero_shot,train
"Affinia Chicago is one of the worst hotels I have ever stayed at. Not in my life have I been treated so poorly as a guest. The front desk was very unaccommodating when I asked for a smoke free room when they had made an error in my reservation. There was no bellhop available for some strange reason so I had to move all my luggage to the elevator and down a long hallway to my room by myself. If it wasn't already a bad stay, I ordered room service and it took over an hour and a half to be delivered. If they didn't have air conditioning in the room, I would say just about everything about this stay was completely miserable. If you are traveling to Chicago for any kind of business, I hope you decide not to choose this hotel. I was quite surprised, I like Chicago as a city but this stay definitely made my trip quite a negative experience.
",fake,1,affinia,human_fake,,train
"Avoid The Talbot, especially for group functions. My in-laws spent a great deal of time trying to find just the right hotel to use for our wedding party and several out of town guests. They were lured in by promises from The Talbot, that since they were a small boutique hotel that they could provide 'special, personal treatment'. Nothing could have been further from the truth. They failed to honor two requests to keep the bar open after our reception, they persistently confused reservation requests, they front desk failed to contact the valet despite multiple requests and nearly caused of my guests, his wife, and his two year old daughter to miss their departing flight. Now the worse part. Mistakes are made, even hotel managers are human, but where a hotel, which is supposed to be in the hospitality service, can distinguish itself is in how they handle and correct the error. Case in point: I had requested on several occasions when I made the reservations for my family that they all be placed under my credit card, all expenses, they assurred me that this would be no problem. Of course, when my brother, his wife, and asthmatic five year old arrived to searing hot and humid Chicago after six hours of travel they wouldn't let them check in until they physically saw my card... again despite them having my card on record, and despite my explaining this to them over the phone. My brother recalls the 'indignation' of the desk clerk when he mentioned that the charges were to be put on my card. Then Another guest, in this case my older brother, came by and put the charges onto his card so that the five year old could escape the heat and the prolonged waiting in the lobby. When I finally was able to get across town, leaving a Cubs game early, I again spoke to them about putting all the charges on my account. Again they agreed, but never did anything about it. In the end when my older brother checked out on Sunday he was told everything was alright, but when he went to his ATM his account was frozen from 'unathorized overuse'. The hotel kept billing his debit card automatically for multiple charges ubtil his account was essentially drained. When he got home he had to take an entire day off to discuss with his bank how to rectify these events. I spent Sunday afternoon for an hour and three hours on Monday, the first two days of my honeymoon on the phone, calling The Talbot, the credit card fraud division, my brother, etc trying to solve this situation. The most aggregious insults continued to come form the covering manager, who at one point suggested that 'I was mistaken about coming back down to talk with the desk clerk about these matters'.... this was a witnessed event, and her insinuation was that I was lying, and that there was no way her clerk could have made a mistake. In the end, there is no one running this place... managers from one department refer you to the manager of another departments voice mail. When I was finally able to get the name of the general manager (after two days)m neither he nor his assistant would ever call back. The communication between the staff and mangement is non-existant. Fortuneatly the staff at the Signature Room (where we had the reception) was beyond excellent so the day was not lost, but the The Talbot went out of its way to insult and poorly serve my family and many of our wedding guests. Try The Ambassador East (same neighborhood) cheaper, much more professional staff.
",real,0,talbott,human_real,,train
"If you are looking for a hotel that is truly in the best location, the Intercontinental is it--right on the Magnificent Mile, next to the Chicago River, across from the Wrigley Building. My daughter and I stayed here for a getaway, and quickly were able to get to Milennium Park, shopping, Navy Pier, great dining, exploring festivals and strolling through beautiful areas along the lakefront and Chicago River. Check-in was easy and we were treated with courtesy throughout our stay. Maria, one of the concierges, was especially helpful in finding us a unique place to eat. The room was lovely and comfortable, although our tub didn't drain well. Just a wonderful stay! 
",real,0,intercontinental,human_real,,train
"A lovely hotel in a trendy part of Chicago which gives it a much more comfortable feel than the downtown hotels. The rooms are very, very well appointed, but not large, and the quality of the materials is wonderful without exception. Unfortunately, the service was below average in every way: they failed to deliver laundry by an important and assured deadline; valets didn't deliver the car and had to be asked twice; the concierge gave us miserable directions that got us lost, and the front desk was unable to rectify any issue. It amazed me that so much incompetence could happen in 6 hours! And even after recognizing their shortcomings, not one sincere or significant apology. A poster child of how bad service cannot overcome a well-built, well-furnished hotel.
",real,0,sofitel,human_real,,train
"I was very disappointed with the hotel this time. They seem to be coming down in quality quite a bit. The clientele also seem to be of a lower quality. The lobby was quite a rambunctious scene with no one on staff seeming to notice. The house keeper only did the bare minimum in the room each day and did not replace the used toiletries or the coffee; she also left the dirty coffee cups in the room. I think I will have to stay with the InterContinental next time.
",real,0,fairmont,human_real,,train
"Our suite at the Knickerbocker are quite nice, but the behavior and attitude of the staff is beyond abysmal. First, a member of the staff entered our room mid-day unannounced only to apologize after realizing that he failed to verify that we were present. Not a tremendous problem, but when the young woman at the front desk replied 'What do you want me to do about it' with the tone of a flippant teenager, I began to suspect that a severe deficiency in manners may have been evident in the staff. Fast forward to this evening. Following a lovely meal off the premises, we chose to turn in a bit early at 11:30 pm only to discover that despite our best intentions, the bass from a party downstairs was more than audible in our room. Acting prudently and with restraint, we decided to phone the front desk to inquire as to why our room had been inadvertently annexed into the party downstairs, but yet again we were met with a curt and quite rude response. Sean at the front desk informed us that the party was a greater priority for the hotel, and that the family dictated that the music was to be set at a certain volume. On one hand I appreciated his honesty, but on the other, I truly would have preferred that he at least pretended to care about the guests who chose to stay at his property. Since we're out of options for the evening, we've decided to stay up and try to watch TV for the time being, but given the circumstances, the staff could have easily made up for the negative situations that arose in quick succession. Also, I was alarmed to learn that while I slept the prior night, a possible gang-related shooting took place mere blocks from the property. This wouldn't have been a concern if like nearby hotels, the Knickerbocker chose to enlist any type of security measures within their lobby. Would I stay here again? Maybe on a dare, or if someone else was footing the bill. Yet I've had better experiences in road side motels, and the employee training regimen could use a serious revamping to better serve the interests of the guests, and more importantly simple common sense.
",real,0,knickerbocker,human_real,,train
"The Sheraton is a fantastic hotel. My wife and I stayed on the 29th floor overlooking the Chicago River and Lake Michigan. The view was great. We got a corner room that also had a couch in. The hotel was just a short walk to the Navy Pier and the Magnificant Mile Shopping area. Food at the hotel was great. Service from checking in to maid service was first class. Great Hotel, Great Town, Highly recommend it. 
",real,0,sheraton,human_real,,train
"If you asked me two years ago, I would have recommended the Talbott Hotel without hesitation to anyone who asked. Now, I have definitely changed my mind. While this hotel is located in a nice area of Chicago, surrounded by great restaurants, shops and affluent people, it has really begun to slowly downgrade. As noted by my reviews, I am incredibly serious about customer service. If you're in the hospitality industry, there is really no excuse for falling short in this category--- but alas, the Talbott really has. The door staff don't say a word, the desk people acknowledge you only when they are not doing a million other things (which they always are) and the staff have an air of snobbishness. Inexcusable since we, the customers, are paying to stay at their over-priced hotel. Perhaps the most annoying aspect of my latest stay was that I had to walk down 11 flights of stairs to get to the lobby of the hotel because I waited a solid 15 minutes for the elevator, which, when it arrived, was packed to the brim. I get that it's an old hotel, but it is incredibly annoying that they only have two elevators for the entire place and when one is down for construction, the other one overflows with people and I am forced to walk ELEVEN flights to simply get to my dinner reservation on time (which I didn't.) I will not continue giving this hotel my business and have other better recommendations to give to friends who plan on visiting.
",real,0,talbott,human_real,,train
"The Chicago Hyatt Regency deceptively alters the cancellation policy by charging the full room rate upon cancellation--ie the room cannot be cancelled. I recently booked over the phone a one night stay directly with the hotel. The reservation specialist mentioned over the phone there was a 72-hour cancellation policy. However, when I tried to cancel the reservation within that timeframe, Robert, the reservation supervisor, said that the room could not be cancelled at any time without charging full price for the room. He said that I should refer to the confirmation e-mail that states at the bottom that prepayment is required at time of booking / non-refunable. This clearly was not what was agreed to over the phone. I told him to cancel without being charged. In response, he threatened to cancel and charge me for the full stay. Why would someone cancel if they are going to be charged full price? The bottom line is the hotel deceptively changed the terms of the agreement, and Robert should go back to customer service school!
",real,0,hyatt,human_real,,train
"The InterContinental Chicago Hotel is absolutely magnificent. The rooms are of utmost standard and you get treated with such respect. The staff is always there no matter what. Not only is the hotel beautiful but it surrounded by beautiful lights and beautiful skyscrapers. I give it two dumbs up. If you are ever in Chicago the InterContinental Chicago is the place to stay.
",fake,1,intercontinental,human_fake,,train
"My expectations were not high because I booked this hotel through priceline for $58 / night. An amazing deal if not for the fact that you had to wait 15 - 20 minutes for hot water. I called the front desk to tell them that there was no hot water - to which they nonchalantly replied: 'try running it for 15 to 20 minutes.' They forgot to tell me to keep the water running after my shower, if anyone else expected to use the shower. My boyfriend, who showered after me, had to wait another 10 minutes to get the shower warm again. To make matters worse, after room service was delivered, we called and said we needed another fork. They told us it would cost $3 ($1 for the fork, $2 for delivey charge). Absolutely ridiculous!! At least with a 1 star hotel, you get hot water. This is supposed to be a 4 star hotel. I guess you do get what you paid for - I just feel bad for the people who actually paid full price.
",real,0,hyatt,human_real,,train
"We just got back from a trip to Chicago for my 30th birthday and we could not have been more impressed by this hotel! Service was excellent, especially the maid service. Our room was so clean and fresh towels brought in daily. The front desk staff was some of the most professional and friendly staff I have ever dealt with while travling. The location is excellent as it is within walking distance of the best restaurants and stores. I highly recommend Affinia for a the perfect family vacation.
",fake,1,affinia,human_fake,,train
"This is a great hotel but there is no way that I would recommend it until the construction around it is complete. The elevator is the alley starts for the construction site behind at 5:30am and goes on into the night. Dumpster filling and emptying also seems to go on 24/7. Worst of all, the restaurant is open to the sidewalk cafe here and the rats go scampering from the construction next door to street to grating. Ugh!
",real,0,talbott,human_real,,train
"I only stayed out with my boyfriend for one night, however enjoyed my stay. The staff was friendly, the room was nice and clean, the hallways and ballrooms etc were elegant. Room service was quick and had good options to choose from that actually tasted great. The staff was able to extend our check out time for an extra 1-2 hours without an extra charge to the room. Great location too! Walking distance from the Art Museum, Millennium Park, Grant Park (right across the street) and a quick cab ride to McCormick Place. If I were in the city again I would love to stay there again. 
",real,0,hilton,human_real,,train
"We connected to Affinia Chicago thorugh a city websight. The deal was fair for a downtown hotel on the main drag with an attractiion included. There was information out there that the hotel was being overhauled although we did not pay much attention to that. They are currently under major construction. They will be a little late of their projections in the finish date. I must say that the staff tried very hard to make our stay comfortable under very difficult circumstances. The room was complete and was good. It had a very nice bathroom. The main lobbie and all hotel amenities are totally unfinished drywall with no food, drink, or rest room opportunities. The construction guys did their best to limit activity and noise to after 9:00am. I think this will be a good one once they are done. As of the end of May, they have a way yet to go.
",real,0,affinia,human_real,,train
"I was very happy with my stay at the Knickerbocker. The room were nice, and the staff was excellent. I was able to stay here for $80 per night thru Priceline. That was an incredible bargain in my opinion .. this hotel is very nice. It has an excellent location ... just off of Michigan Ave. All of the best shopping in Chicago can be found right around the corner. It's a great location ... very close to many great attractions. If there is any negative it would be that there is no swimming pool, but I think that is common with a lot of the older hotels in Chicago, I would definately recommend this place ... hopefully I will be able to stay there again in the future. 
",real,0,knickerbocker,human_real,,train
"The Knickerbocker hotel was one of my favorite hotels to visit. My wife and I utilized the park & play package, which gave us an amazing room, complimentary valet service, and a great kit to plan our weekend around. It was well worth the price and we both wish to go back again. The rooms were top notch and the hotel's staff was excellent. One of the employees, Craig, helped us find our way around the city and this shows the Knickerbocker really cares about its guests. We loved our visit and are sure you will too. A+
",fake,1,knickerbocker,human_fake,,train
"We booked this hotel for the second leg of our Chicago stay..it was great!!!! The Lion King package was pricey but reasonable, given the ticket costs and the Suite. Room was great....classical music greeted us when we entered our room after a long day of sightseeing and shopping. NYTimes and Chicago Tribune at your door every morning. One block from the Washington El train station. We never saw the small rooms that every one apparently doesn't like, but the Suite rooms were fun and our kids loved it. Dunkin Doughnuts and Corner Bakery down the block. City Hall, Picasso structure....this was a great place. Book it and also use the Golden Touch Limo service...reasonable. Omar is a super guy. 
",real,0,allegro,human_real,,train
"As others have said, once all the construction works are completed I suspect that the prices this hotel can (legitimately) charge will put it out of our price range. Which will be a pity because it is an excellent hotel, & the location couldn't be better. The room was very spacious, with separate sitting & study areas & a nice bathroom. Only 3 minor points: downstairs they were serving a free basic breakfast (coffee & pastries), but we only knew of it on our last morning - nobody had mentioned this; the cost of internet - $9.99 - is a bit dear especially when lots of motels now offer it free; there was only powered milk in the rooms, which wasn't that nice. But none of these really spolied a really enjoyable stay. 
",real,0,affinia,human_real,,train
"My stay at the Hotel Monaco recently was fantastic. We got a very reasonable price for our stay (especially since we were a AAA member), and there was plenty of perks to utilize; in-room spa treatments and an evening wine wine hour to name a few. Another thing that the kids really enjoyed was that, upon request, the staff brought us a fish in its own fishbowl for our room. How cool is that! The staff were all very helpful and friendly and our stay was very enjoyable. I would definitely recommend the Hotel Monaco to anyone in the downtown Chicago area. 
",fake,1,monaco,human_fake,,train
"I booked this hotel on Priceline for 4/13, and a week later called the hotel directly to add 4/12 to our stay. The receptionist confirmed my reservation confirmation# and gave me a lower rate for both nights for the same king suite. When we arrived at check-in, there was no record of my 4/12 reservation whatsoever. The hotel was also fully booked, leaving my tired, hungry family and I high and dry with nowhere to go. The only decent thing that happened with this whole debacle was that Lisa at the check-in desk called around to several other hotels close-by to find us a room, and seemed to be the only employee working at a very busy time of evening. We ended up at Embassy Suites for both nights and had a very pleasant experience there.
",real,0,homewood,human_real,,train
"Staying at this hotel was one of the high points of a last minute, budget Valentines weekend trip for my husband and me. We got a great rate -- $70 -- on Priceline. Close to the subway (red line) and we got from O'Hare to the hotel in less than an hour for $3.50 for both of us. We were able to check in more than 4 hours early. Room was great -- very clean, good closet space and fantastic bedding. Had one expensive drink at the Irish bar, but the bartender's advice on restaurants and clubs to check out made it worth the price. Concierge was helpful, too. Overall, service was terrific, room was great and staying there was a treat. I would stay there again any time, especially at that price. 
",real,0,hilton,human_real,,train
"This hotel is rather far from the airport and in traffic it took almost 2 hours to get there. By that time, I was so tired I was just ready to check in to my room. I stood in line forever as there was only one person working at the front desk. That was only the beginning. It was very noisy outside from people constantly walking around. I guess it's because they're located in the middle of the downtown area, but they could at least make the walls thicker. I don't want to hear everything going on in my neighbor's room. The bathroom was not very clean and one of the towels had a hole in it. The toilet ran all night which kept me up along with all the people on the street. The restaurant food was horrible and I would rather buy food from a street vendor than to pay the ridiculously high price they charged for a burger. Overall, I was very disappointed with my stay at the Conrad Chicago.
",fake,1,conrad,human_fake,,train
"This was a great hotel right in the heart of the Chicago Loop. Within walking distance to the downtown attractions. Parking is expensive ($50 p/nt) so we parked at a free remote location (recreation drive) since we weren't planning on driving once we checked in. The staff was friendly and helpful. The rooms are large and clean. 
",real,0,affinia,human_real,,train
"Loved my stay at the Intercontinental! The spacious room with city views was just what I needed after a long flight, and the hotel's signature eggs benedict breakfast was seriously on point - had me hooked from day one.",fake,1,intercontinental,llama3.2:3b,short_positive_unstructured_zero_shot,train
"I have been 4 times in Chicago, and I have stayed in 4 different Hotels: This has been for much the very best option. The lobby, the warm of the receptionist, the room, the hotel is very good. It is walking distance to the Magnificent Mile and there's no chance for you to get lost from this hotel. If you like to travel with style this could be a very good option. 
",real,0,sheraton,human_real,,train
"When making my reservation, I made it for one of the most busiest weekends during the summer Memorial Day. The staff was able to get my family in at an affordable rate. The suites are very spacious, clean, cozy, and comfortable. Upon on arriving staff were friendly, willing to exceed expectations, and serve me with enthusiasm. The Hot Breakfast was delicious each morning. The beds are very comfortable and provided a good nights rest. I would recommend this hotel to my friends and anyone who need additional space when traveling and on a budget compared to other Chicago hotels. 
",real,0,homewood,human_real,,train
"The decor felt oddly mixed, neither truly fresh nor comforting; frankly, the staff interaction was lackluster throughout our visit. Coupled with an underwhelming bathroom experience, I felt the entire trip was far too brief to even properly assess it.",fake,1,omni,gemma4:e4b,short_negative_structured_few_shot,train
"I stayed at the Allegro Hotel while interviewing for a position in Chicago. I read the reviews and they were mixed, but since the property was suggested by the organization (due to location), I booked a room. True to the reviews, the room was extremely small, was cold (the heater blew in cold air in -2 degree weather), and just generally uncomfortable. There was no closet so I hung my suit on the doorknob of the door of the adjoining room. The bathroom was extremely small and although tidy, not especially clean (it was dusty). The bed (which was supposed to be a queen but was really a full) was quite low and the sheets were hard. Because I arrived late, I ordered room service. There was so little space in the room that the wait staff had to approach the desk/table sideways. Although there is free wireless (a plus), I kept getting kicked out of the system and had to, no lie, reconnect on-line a record 16 times. Finally, to top it all off, the television stopped working just a little before midnight. I was only there for one evening (not even 12 hours) but that was enough for me. This is supposed to be a 4 star boutique hotel but I've stayed at better 2 star properties. On the positive side, the staff is nice and friendly, the food is reasonably good, and the lobby is really vibrant. There is a martini bar (although as I was coming in, a hotel guest was complaining about it being unsually smokey) that looked interesting. Overall though, not the best stay I've had. I won't be staying again.
",real,0,allegro,human_real,,train
"I booked this hotel with great expectations. I had family visiting from outside the country and wanted them to have a good experience in Chicago. Upon arriving to the hotel (at the exact time I indicated in my reservation) I was told I've been 'downgraded' to a lesser quality room. I travel very often and never had this before. Moreover, I did not hear a single 'I'm sorry', it was like usual business. What bothered me the most was that the receptionist kept telling me 'I will decrease the rate for you' 'what do you think, nice eh?' like he was doing me a favor!!!! They decreased the rate to that of the rooms they gave us of course (which is the legal thing to do, since I am sure is illegal to charge me for one room and give me a lesser value one for the same money). They did not care that I wanted higher level room independent of value. I did not know what to say, since this never happened to me before, also with family present did not want to start arguing. The rooms were nice (not as nice as I thought) and location is good, however be aware that they might not honor your reservation and not even apologize for this. That is enough for me not to go back again.
",real,0,conrad,human_real,,train
"This hotel is great! I love its interior design of the room. Customer service is excellent! And its gym and spa are gorgeous. If you need to go to Chicago, this hotel would be your best choice! You can also check its website for the special offer, I found a great deal on it! 
",fake,1,james,human_fake,,train
I had such a wonderful stay at Affinia where everything felt perfectly curated from the moment we walked in. The staff went above and beyond to make our anniversary special with thoughtful touches that really made us feel like royalty throughout the entire visit here.,fake,1,affinia,qwen3.5:9b,short_positive_unstructured_zero_shot,train
"I have to thank the Ambassador East Hotel for providing a really great experience for my family. We never leave our dog at home when we travel, and it's been a long time since we've been able to find a place of this caliber that allows pets. The staff even spent time cooing over how cute our dog is when we asked about local clothing boutiques. My husband liked the fitness room. It was nice and clean, with plenty of extra towels available. It was colder than we expected with the wind blowing in off the water, but the concierge knew exactly where we should go for jackets and scarves. We will definitely be staying here next time we visit Chicago. We would make the trip just to stay here. That's how welcome we felt when we stayed at this hotel.
",fake,1,ambassador,human_fake,,train
"We were greeted by staff with excellent customer service skills. Our room was such a pleasant surprise, from the flat screen TV, the full size shower with rain showerhead & hand held shower wand, the wall attached toilet with flushing options (on the wall), the comfortable bed, the lovely lighting options, etc.. The size of the room was snug, and very comfortable, as would be, in a historic hotel. It was also quiet, and I know that the hotel was sold out. My sister was in the room next door. We did not hear her TV. We also loved walking less than a block, to the shopping and restaurants on North Michigan Avenue. 
",real,0,knickerbocker,human_real,,train
"Our vacation was highlighted by a four day stay at Homewood Suites by Hilton Chicago Downtown.I believed it would be the best part of the trip; I discovered it was an unfolding nightmare. While in our lovely room on the fifteenth floor, a voice emanating from the phone, informed us of the pending fire alarm and what procedures to follow. Anyone above the tenth floor was instructed to go into the bathroom, wet towels and place them along the bottom of the closed door.Do not use the elevators and wait for further instructions.We nervously waited for twenty minutes without any further communications from the voice in the phone.We then decided to exit via the stairs, realizing too late that once you entered the stairwells, doors behind you were locked.We continued to travel downward, against the backdrop music of sirens and loud muffled speakers.Obviously, we were rescued without any physical injuries; yet emotionally we were damaged.I now choose my hotels in the range of ten floors or less.
",fake,1,homewood,human_fake,,train
Perfect blend of charm and convenience at Homewood's Seattle location--my suite felt like a quiet retreat after long days sightseeing.,fake,1,homewood,doomgrave/ministral-3:8b,short_positive_structured_few_shot,train
My group just loved our time at the Sheraton--turns out 'classic elegance' isn't overrated.,fake,1,sheraton,doomgrave/ministral-3:8b,short_positive_unstructured_few_shot,train
"Just got back from three nights at the Knickerbocker. Went up to Chicago for some last minute Christmas shopping. Hotel is in a great location. North end of Michigan Ave. about half a block away. Staff was very nice and professional. Everyone we came in contact with was very helpful. Granted this is a older hotel and some of the rooms are no bigger than closets. We were booked into a standard room and when we arrived we upgraded to a deluxe room. Good size room, with nice furnishings and a comfortable bed. Bathroom was somewhat small. Housekeeping did a great job cleaning the room every day. Did not eat at the restaurant Nix, but saw several people getting orders delivered to the bar. Overheard comments saying the food was very good. Drink service at the Martini Bar can be slow. Martinis run $9 and up. Very good drinks and they don't shy away from the liquor. Valet parking was $35 a day with in/out priviliges. Overall a great stay. Would definately stay at this hotel in the future. 
",real,0,knickerbocker,human_real,,train
"Arrived at Hotel Amalfi after a long day of travel expecting a comfortable stay, but it felt like we just hitched a ride into a time warp. Our room was compact--less than expected--and though the view was *technically* nice (overlooking a parking lot more than the ocean), the balcony was tiny enough to block most light with one chair. The air conditioning barely moved past 'warm breeze' territory, and despite setting it low, we both woke up sticky every morning.

The real kicker? The noise. Between the clanking pipes that sounded like a construction site at 3am (maybe that's their *signature* sound?), the hallway AC units screaming like lawnmowers for hours, and neighbors who treated the thin walls like paper--we felt more exhausted than before we checked in.

Breakfast was a bust.",fake,1,amalfi,doomgrave/ministral-3:8b,long_negative_unstructured_few_shot,train
"Promised river views were blocked by taller buildings next door, making it feel like I'd pay a premium just to stare at scaffolding--and the check-in line stretched twice my arrival time.",fake,1,affinia,doomgrave/ministral-3:8b,short_negative_structured_few_shot,train
"I have to say, my recent stay at the Omni Hotel was nothing short of fantastic. From the moment I walked in, the staff were attentive and knowledgeable, offering personalized recommendations for restaurants and attractions that weren't to be missed. The room itself was a delight - spacious and comfortable, with all the amenities you could want, including a generous desk area perfect for working or lounging. The bed was incredibly plush, and the linens felt like a cloud against my skin. I also appreciated the thoughtful touches, such as fresh fruit and chocolates in the room, which added to the overall feeling of luxury. And when it came time to hit the gym, I was impressed by the range of equipment available - I even managed to squeeze in a quick workout before the day's events began. Overall, I'd highly recommend the Omni Hotel to anyone looking for a top-notch stay in Chicago.",fake,1,omni,llama3.2:3b,long_positive_unstructured_few_shot,train
"This hotel is the perfect location for downtown Chicago shopping. The only thing is the pool is extremely small - it is indoors, but looks much larger on the website. 
",real,0,omni,human_real,,train
