text,Binary_label,label,hotel,origin,source_dataset,cell_id_variation,split
"We booked 2 rooms for 2 nights on Hotwire over Labor Day weekend. We arrived at the Hard Rock at around 10:00 a.m., and they were able to give us our rooms early. Hooray! We were on the 5th floor (Beatles theme). The rooms were very comfortable. One of our rooms was on a corner, and had lots of windows. The other was was a bit larger with fewer windows. Not a great view from our side of the hotel, but we didn't pay for a room with a view. The beds and pillows were EXTREMELY comfortable, the bathroom was full of Aveda products, and there was a bathrobe in the closet. The tv/dvd/stereo combo was nice, but we weren't in the room a lot to use it. We were warned by the front desk not to even touch the snacks/drinks as they were weighted and we'd be charged. No problems there. We did not make use of the free fitness center, because the weather was perfect. My husband was able to go for a run through Grant Park along the waterfront instead. He said it was wonderful. We did use the free internet in our rooms. It was 'wired' internet, but my stepdad said that was better for him anyway. The room was a bit dim at night, but we were able to read just fine using the bedside lamps. There was virtually no hall / elevator noise. The location of the Hard Rock is ideal. It is easy to get breakfast at the Corner Bakery, just blocks to either Grant Park, The Art Institute, State Street Shopping, or Michigan Ave. To sum up, there was absolutely NOTHING to complain about. We would be glad to stay here again any time. 
",real,0,hardrock,human_real,Hotel_Human_VS_HumanFake_relabelled.csv,,train
"I stayed at the Talbott for four nights in early October and would happily return. The location turned out to be ideal, quiet residential street feel yet only a short walk to Michigan Avenue shopping and plenty of restaurants nearby. My room was spotless when I arrived, and housekeeping kept it that way throughout my stay, right down to the neatly folded towels each afternoon. Despite being in the middle of the city, I never heard noise from the hallway or the street once the windows were closed, and I slept better than I do at home. What really set the place apart, though, was the staff. Everyone from the front desk to the doormen was warm and genuinely attentive without being intrusive. The bellman even gave me walking directions with a hand-drawn map. A solid, comfortable stay all around.",fake,1,talbott,glm-5.3-flash,Hotel_LLM_Reviews_glm-5.3-flash.csv,long_positive_structured_few_shot,train
"I really wanted to like this place, given the Sheraton name, but our stay left a sour taste. The bathroom was the low point: the caulking around the tub was grimy and peeling, and the showerhead sputtered like it was giving up. The decor felt frozen in the early 2000s, all heavy dark wood and beige wallpaper that made the room feel cramped and dusty, despite the housekeeping attempts. Our two nights here honestly felt like four, dragged out by thin walls and a constant hum from the mini-fridge. The staff were polite enough at check-in, but any request--extra towels, a late checkout--was met with a shrug and a 'we'll see.' It's functional, I suppose, but for the price, I'd expect a fresher, more attentive experience. I left with a headache and a sense that this property has been coasting on its brand for years.",fake,1,sheraton,deepseekv4-flash,Hotel_LLM_Reviews_deepseekv4_flash.csv,long_negative_structured_zero_shot,train
"Stayed at the InterContinental for an entire week on business and for the most part a very elegant, convenient visit. Stayed in the historic tower. Very nice rooms, great view, attentive staff, convenient location just north of the Tribune Tower & the river, and nice fitness club at $16 for the entire stay. The only downside is I couldn't get over the feeling that I was being nickle & dimed: $10 a day for Wi-Fi, $6 bottles of water in the room, $26 mini-bottle of wine in the fridge, tipping multiple staff for carrying the same bags, etc. Their in-house restaurant Zest is Zagat rated though I'm not sure why. Within a 5 minute walk there are plenty of great restaurants with much better food than Zest. But, next time I need to be near the Loop I'd stay at the InterContinental again. 
",real,0,intercontinental,human_real,Hotel_Human_VS_HumanFake_relabelled.csv,,train
"I booked this Sheraton for a three-night city break, and honestly, it felt about 48 hours too long. The room itself was clean enough, but the air conditioning wheezed like it was on its last legs, and the walls were thin enough to hear my neighbor's entire phone conversation. Breakfast was the low point--rubbery scrambled eggs, lukewarm coffee, and pastries that tasted like they'd been sitting out since dawn. The staff weren't rude, but they were so brisk and disengaged that I felt like a nuisance just asking for extra towels. At nearly $280 a night, this felt like a rip-off; I've had better service at mid-range chains. The location is convenient, sure, but that doesn't compensate for the sterile atmosphere and the sense that nobody actually cares if you're there or not. I won't be coming back.",fake,1,sheraton,deepseekv4-flash,Hotel_LLM_Reviews_deepseekv4_flash.csv,long_negative_structured_zero_shot,train
"I had a very pleasant stay at Hotel Omni and would happily return. The lobby was polished without feeling overly formal, and check-in was quick and friendly, even though I arrived a little earlier than expected. My room was bright, quiet, and genuinely comfortable, with a good bed, plenty of outlets, and a surprisingly spacious bathroom. Everything was clean and well maintained. I also appreciated the small details, like the complimentary water and the helpful recommendations from the front desk when I asked about nearby restaurants. The cafe downstairs served a solid breakfast, though it was a bit busy in the morning. Wi-Fi worked reliably throughout my stay. Overall, the hotel offered a relaxing, convenient experience and felt like good value for the location.",fake,1,omni,gpt5.6-luna,Hotel_LLM_Reviews_gpt5.6_luna.csv,long_positive_unstructured_zero_shot,train
"My stay at the Affinia was disappointing from the moment I arrived. The front desk staff were polite enough, but seemed distracted and offered little help when I mentioned problems with the room. The bathroom was cramped, with worn grout, a weak shower, and water that took several minutes to drain. Our view was mostly of a brick wall and a collection of rooftop vents, hardly what I expected for the price. Noise was another issue: conversations in the hallway, slamming doors, and traffic continued well past midnight, and the thin walls made it difficult to sleep. Housekeeping also skipped replacing the towels one day. The convenient location was the only real advantage, but it did not make up for the tired room and lack of attention.",fake,1,affinia,gpt5.6-luna,Hotel_LLM_Reviews_gpt5.6_luna.csv,long_negative_structured_zero_shot,train
"I booked the Conrad expecting refined luxury, but left feeling cheated. The Wi-Fi was a constant battle--it dropped in the middle of a video call and never reconnected without a frustrating lobby visit. Our room faced an inner courtyard, so the 'city view' was really a gray wall and a ventilation shaft humming all night. I slept terribly; the mattress was far too soft, and the air conditioning cycled loudly every twenty minutes. The staff were polite on the surface but utterly unhelpful--housekeeping ignored our request for extra towels twice, and the front desk shrugged when I mentioned the noise. For this price, I've had better service at a mid-range chain. The lobby is pretty, sure, but that's where the charm ends. I won't be back.",fake,1,conrad,deepseekv4-flash,Hotel_LLM_Reviews_deepseekv4_flash.csv,long_negative_structured_zero_shot,train
"The room's fresh, modern decor was a pleasant surprise, and the sweeping harbour view from our window was breathtaking. Perfectly central, though we slept so deeply in those plush beds that we barely noticed the city buzz outside.",fake,1,fairmont,deepseekv4-flash,Hotel_LLM_Reviews_deepseekv4_flash.csv,short_positive_structured_zero_shot,train
"I've stayed at the Allegro a couple of times. Like the other Kimpton properties, it's a classic old hotel that's been beautifully updated. I found the staff to be cordial, and I really like their corporate culture. They're pet-friendly (although I wasn't travelling with the dog), I got a recycling bin in my room, Aveda products in the bath and they don't clean with toxic chemicals. The rooms aren't huge and the bathrooms aren't what you're going to get at a Hilton. What the Allegro lacks in square footage it more than makes up for in cool. OK, they may be a little pricey, but I'm willing to pay a bit more considering the higher cost of doing business responsibily. 
",real,0,allegro,human_real,Hotel_Human_VS_HumanFake_relabelled.csv,,train
"The Hilton was spotless and welcoming, with a comfy bed and surprisingly quiet room. Breakfast had plenty of options, and the staff made check-in feel effortless.",fake,1,hilton,gpt5.6-terra,Hotel_LLM_Reviews_gpt5.6_terra.csv,short_positive_unstructured_zero_shot,train
"Disappointing stay at the Monaco. Our room overlooked a dingy alley, the decor felt stuck in the 90s, and hallway noise kept us up both nights. Couldn't wait to check out--two nights felt like a week.",fake,1,monaco,glm-5.3-flash,Hotel_LLM_Reviews_glm-5.3-flash.csv,short_negative_structured_zero_shot,train
"The Allegro turned out to be a quiet gem right in the middle of everything. The lobby had a fun, vintage vibe that made coming back feel special, and the bed was honestly the comfiest I've had in ages.",fake,1,allegro,deepseekv4-flash,Hotel_LLM_Reviews_deepseekv4_flash.csv,short_positive_unstructured_few_shot,train
"We've stayed here before but this time around was a marked difference in quality and service - the staff wasn't rude, just incompetent. For example, we ordered wine glasses for the room because the hotel no longer services a mini bar in the room, which seemed like a really cheap way to go for this type of hotel. Nonetheless, the staff brought us 4 coffee mugs... The list of issues goes on unfortunately, including the low grade in-room movie options - our audio and video did not sync on our rental; we eventually had to stop watching after 20 minutes. And the room itself was not clean; the bathroom sink vent holes were black with mold. Clearly the hotel has pulled back on not only amenities, but training or sufficient staff... oh, but the price point for this hotel has stayed the same. Find a newer hotel, there are many in this great city.
",real,0,conrad,human_real,Hotel_Human_VS_HumanFake_relabelled.csv,,train
"Hard Rock's central location made exploring easy, and the breakfast had plenty of fresh options. The sleek bathroom was spotless with a great shower; honestly, our weekend ended too soon.",fake,1,hardrock,gpt5.6-terra,Hotel_LLM_Reviews_gpt5.6_terra.csv,short_positive_structured_few_shot,train
"Genuinely lovely stay. The staff remembered our names, the bed was cloud-soft, and breakfast had fresh pastries worth waking up early for. Pool area is peaceful too. We'll be back for sure.",fake,1,sofitel,glm-5.3-flash,Hotel_LLM_Reviews_glm-5.3-flash.csv,short_positive_unstructured_zero_shot,train
"I had a very pleasant stay at Swissotel and would happily return. The lobby was busy when I arrived, but check-in was handled efficiently and the front desk staff were warm without being overly formal. My room was on a higher floor with a great city view, and it was quiet enough to sleep well despite the central location. Everything felt clean and well maintained, especially the bathroom, which had good water pressure and plenty of counter space. The bed was comfortable, and I appreciated having a proper desk since I needed to catch up on work. Breakfast had a nice range of fresh options, though it got crowded around 9. The location made it easy to walk to restaurants and attractions. Overall, a polished, comfortable hotel with genuinely helpful service.",fake,1,swissotel,gpt5.6-terra,Hotel_LLM_Reviews_gpt5.6_terra.csv,long_positive_unstructured_few_shot,train
"The staff were lovely, but felt like they were working against the building. Bathroom had a persistent musty smell and the hallways were loud until 3 AM. Not the chic, romantic escape I'd hoped for at this price.",fake,1,monaco,deepseekv4-flash,Hotel_LLM_Reviews_deepseekv4_flash.csv,short_negative_unstructured_zero_shot,train
"I expected more from a hotel with this location and price point. The lobby looked polished, but that was about where the good impression ended. Our room was not ready at check-in, and after waiting nearly an hour nobody offered an update until I asked. The room itself felt tired: scuffed furniture, a stained chair, and a bathroom fan that rattled all night. The air conditioning barely worked, so it was stuffy despite turning it down several times. We also heard hallway conversations and doors slamming well past midnight. Housekeeping skipped our room one day, then brought towels late in the evening after two calls. Staff were polite when available, but everything seemed understaffed and disorganized. For the rate we paid, I expected a comfortable, dependable stay, not a series of small frustrations.",fake,1,ambassador,gpt5.6-terra,Hotel_LLM_Reviews_gpt5.6_terra.csv,long_negative_unstructured_few_shot,train
"Expected more from a Hyatt. Room smelled musty, walls were thin, and the front desk took forever to fix our broken AC. Location was fine but honestly won't be rushing back.",fake,1,hyatt,glm-5.3-flash,Hotel_LLM_Reviews_glm-5.3-flash.csv,short_negative_unstructured_few_shot,train
"Homewood was a disappointment: the room looked tired, housekeeping missed basic details, and the front desk seemed uninterested when we reported the issues. Not worth the price.",fake,1,homewood,gpt5.6-luna,Hotel_LLM_Reviews_gpt5.6_luna.csv,short_negative_unstructured_zero_shot,train
"I had really hoped for better from the Hotel James, but our stay fell short in almost every way. The bathroom was the biggest letdown -- the shower barely maintained lukewarm pressure, the grout was black with mildew, and the fan rattled loud enough to wake the whole room. Sleep wasn't much better, honestly. The mattress sagged in the middle and street noise poured through a window that refused to seal, so we tossed and turned both nights. Cleanliness was questionable too: sticky rings on the nightstand, a gym towel someone left under the bed, and dust along every skirting board. Honestly, even one more night would have felt too long. The front desk staff was pleasant, but that alone can't rescue a stay this disappointing. We won't be back.",fake,1,james,glm-5.3-flash,Hotel_LLM_Reviews_glm-5.3-flash.csv,long_negative_structured_zero_shot,train
"Stayed here in November 2011 on a leisure trip to Chicago. Hotel is very dated, with some rooms that just aren't good enough. Front desk staff was rude. Will not be staying here again - prefer the Swissotel and the Hyatt properties (Regency is similarly priced, and Park Hyatt is 3x more) and a list of boutique hotels in the area as well (Kimpton, etc). Pros: -The only hotel that opens onto Michigan Avenue, very close to all of the excitement -Eno Wine Bar has a great selection of cheeses -Rooms are clean Cons: -Some hotel rooms just make no sense - our first room was tiny and had a window overlooking a ledge (effectively no view), and our second room had two windows that looked out onto a brick wall (actually no view) -You have to pay for everything - internet, gym, and the pool (which was not available due to renovation...) -Entire hotel was very old, not in a classical sense but in a ghost story one -Front desk staff was rude
",real,0,intercontinental,human_real,Hotel_Human_VS_HumanFake_relabelled.csv,,train
"The James was a pleasant surprise--stylish, quiet, and genuinely comfortable. Location couldn't be better for exploring downtown, and the bed was so good I actually slept in past my alarm. Staff even remembered my coffee order at breakfast. Would happily book again.",fake,1,james,deepseekv4-flash,Hotel_LLM_Reviews_deepseekv4_flash.csv,short_positive_unstructured_few_shot,train
"Hotel Monaco looked charming online, but the stay was frustrating from the start. Our room faced the street, and traffic, sirens, and late-night voices carried through the windows well past midnight. The air conditioner also clicked on and off loudly, so neither of us slept much. For the rate, I expected better upkeep; the bathroom had worn grout and the shower temperature swung from hot to lukewarm. Breakfast was included but disappointing, with stale pastries, weak coffee, and a small buffet that was nearly empty by 9 a.m. We only stayed one night, thankfully, because a longer visit would have felt exhausting. The staff were polite, but the pleasant lobby could not make the hotel feel worth the price.",fake,1,monaco,gpt5.6-terra,Hotel_LLM_Reviews_gpt5.6_terra.csv,long_negative_structured_few_shot,train
"I stayed here for 5 nights last summer. I booked the reservation on priceline for $75/night which was the cheapest rate I could find anywhere during a convention week. Anyway, when I arrived at 11 pm from the airport, I was told that they had overbooked the hotel and had no room for me. They booked me at a dumpy 2 star motel by the airport. They gave me $20 for a taxi to get there, and it cost me $35. I was late for a meeting the next morning because of the extra travel and packing/unpacking. The Millennium offered no compensation whatsoever for their foul-up. No free drink, no room upgrade, nothing. Since I booked on the internet, I was chopped liver. Beware.
",real,0,knickerbocker,human_real,Hotel_Human_VS_HumanFake_relabelled.csv,,train
"We stayed three nights for our anniversary, and it was exactly the restful escape we needed. The room facing the inner courtyard was remarkably silent -- we never once heard hallway noise or street traffic, which is rare for a hotel this size. The bathroom was a marble showcase, with a rainfall shower that had fantastic pressure and a deep soaking tub I actually used twice. Every staff member we encountered, from the doorman to housekeeping, greeted us by name after check-in, and the concierge arranged a last-minute dinner reservation at a lovely bistro without any fuss. The decor strikes a nice balance: the public spaces feel grand and freshly updated, while the guest room's classic furnishings have a timeless, elegant charm rather than anything tired. Our only slight quibble was the minibar cost, but that's typical for this tier. We left feeling thoroughly pampered.",fake,1,sofitel,deepseekv4-flash,Hotel_LLM_Reviews_deepseekv4_flash.csv,long_positive_structured_zero_shot,train
"I stayed at ICH Chicago for business in November of 2006 and loved it. As a Royal Ambassador member, they upgraded me to a beautiful junior suite with a separate living and working area and 2 bathrooms! My upgrade was in place upon arrival and a beautiful fruit basket was waiting for me on the coffee table. They even had a nice young lady escort me to my room. The suite was beautifully furnished and had an Art Deco feel to it. The only thing I regretted was that I only stayed one night. I will definitely stay here on my next visit. 
",real,0,intercontinental,human_real,Hotel_Human_VS_HumanFake_relabelled.csv,,train
"We loved the Conrad's calm, refined vibe--the room was spotless and the bed genuinely luxurious. Breakfast was excellent, and staff remembered our names all weekend. Probably the best in the city for a quiet, comfortable stay.",fake,1,conrad,deepseekv4-flash,Hotel_LLM_Reviews_deepseekv4_flash.csv,short_positive_unstructured_few_shot,train
"Honestly, the ambassador team made everything effortless--they remembered my coffee order by day two and had great local tips. The room was quiet, spotless, and the bed was incredibly comfortable. I left feeling genuinely rested, which rarely happens on work trips.",fake,1,ambassador,deepseekv4-flash,Hotel_LLM_Reviews_deepseekv4_flash.csv,short_positive_unstructured_few_shot,train
"We booked the Fairmont for a milestone anniversary, expecting the usual flagship-level polish. Instead, we got a room that felt tired and overheated, with a thermostat that might as well have been decorative. The hallway ice machine was out of order, and our request for extra towels took three calls and over an hour. We tried the hotel bar for a nightcap--the bartender was friendly, but the service around him was glacial, and we watched two tables send back drinks. The view was nice, sure, but you don't pay those rates for a view when the bed's pillows are flat and the bathroom caulk is peeling. The gym was fine, but the pool was booked solid with a private event, so guests were locked out. It all felt like a corporate machine running on autopilot. For this price, I expected attentive staff and a room that didn't feel neglected. We left disappointed and questioning the brand's reputation. Definitely not worth it for us.",fake,1,fairmont,deepseekv4-flash,Hotel_LLM_Reviews_deepseekv4_flash.csv,long_negative_unstructured_few_shot,train
"We stayed at the James for three nights over a long weekend and honestly couldn't have picked a better spot. The location puts you right in the middle of everything, we walked to dinner both nights and barely touched a cab. Our room wasn't huge but it was smartly laid out, and the bed might be the most comfortable I've slept in at any hotel, period. Housekeeping was quick and thorough, and when we asked for an extra blanket it showed up within ten minutes. The front desk staff were genuinely friendly without being overbearing, which is rarer than it should be. Small gripe: the elevator wait got a little long at peak times. That's really my only complaint though. Would absolutely book here again next time we're in town.",fake,1,james,glm-5.3-flash,Hotel_LLM_Reviews_glm-5.3-flash.csv,long_positive_unstructured_few_shot,train
"Our stay at Hotel Ambassador was genuinely worth the price, especially given the central location and the comfort of the room. We had a higher-floor room with a lovely view over the city rooftops and distant hills, which was especially nice with morning coffee. The staff were warm, professional, and quick to help with restaurant suggestions and a taxi arrangement. Check-in was smooth, and housekeeping kept everything spotless. The Wi-Fi worked reliably throughout our stay, including in the room, so I could handle a short work call without interruption. Breakfast was fresh and varied, although the dining area became a little busy at peak time. Overall, a very pleasant and well-managed hotel.",fake,1,ambassador,gpt5.6-terra,Hotel_LLM_Reviews_gpt5.6_terra.csv,long_positive_structured_zero_shot,train
"' Barely Average Hotel at Premium Price' This hotel has a beautiful lobby but fails to fails to maintain its standards beyond the lobby. I have stayed in the Conrad in Dublin, Ireland and in HongKong both of which I loved. I was looking forward to staying at this hotel. I was extremely disappointed. I am very surprised that this hotel is allowed to carry the Conrad name. Pros: Elegant lobby nicely decorated with fresh flowers Location: Located in the Heart of Chicago Disappointments - Stained and worn out carpet in hallway - Room was small - Phone and lightbulb in room were broken - Breakfast was $60 for two people, service was slow and impolite - Hotel rationed soaps and shampoo, one bar of soap to share and one bottle of shampoo which was not replaced for two days, I felt like I was staying at a budget hotel. and to cap off my stay the hotel made a billing error which took three months and more effort than it was worth to correct. I would not stay at this hotel again, It just is not worth the premium price they charge.
",real,0,conrad,human_real,Hotel_Human_VS_HumanFake_relabelled.csv,,train
"My stay at Hotel Amalfi was more disappointing than relaxing. I booked two nights, but by the second morning I was already wishing I had chosen somewhere else; the experience felt far too long for such a short trip. The room looked tidy at first glance, yet there was dust along the bedside table, a smudged mirror, and crumbs near the desk. The bathroom was particularly underwhelming, with worn grout, weak water pressure, and a shower curtain that smelled damp. Staff interactions were polite but noticeably indifferent--questions were answered with minimal effort, and my request for extra towels took several hours. The location was convenient, but that alone did not make up for the tired room and lack of attention to basic cleanliness and service.",fake,1,amalfi,gpt5.6-luna,Hotel_LLM_Reviews_gpt5.6_luna.csv,long_negative_structured_few_shot,train
"Really enjoyed our three-night stay at the Conrad. The location can't be beaten, and while the lobby feels a bit corporate-chic, our room was surprisingly fresh with a lovely modern bathroom. Yes, it's pricey, but the service, the stunning skyline view, and the seamless check-in made it feel worth every pound. Breakfast was a highlight--the made-to-order omelettes were superb, and the pastries were still warm. My only tiny gripe is the hallway carpet looks a little tired, but that's minor. The wifi was fast and reliable in the room and even by the pool, which was perfect for streaming a film at night. Would definitely return.",fake,1,conrad,deepseekv4-flash,Hotel_LLM_Reviews_deepseekv4_flash.csv,long_positive_structured_zero_shot,train
"The hotel definitely doesn't match its 4.5 rating. The receptionist was very unhelpful and dishonest, and I don't feel welcome at all. I booked a non-smoking room, but upon arrival, the receptionist told me that there was no non-smoking room left. Of course he was lying. I argued with him for 5 minutes, before he reluctantly gave me a non-smoking room. At checkout, they tried to charge me $40 upgrade fee each day, because I requested a non-smoking room. This was completely ridiculous. I had to go argue with the receptionist again before they agreed to take away the charges. The room was quite small, the TV was broken, so I had to call someone to fix the TV. Then the wireless network banned my IP address, so I had to talk to their tech-support -- the tech support was quite friendly, knowledgeable and helpful -- I guess this was the only bright point of the stay.
",real,0,james,human_real,Hotel_Human_VS_HumanFake_relabelled.csv,,train
"We stayed at the Hotel Talbott for four nights and honestly, it exceeded what we expected. The location is fantastic, quiet side street but just a few blocks from the Magnificent Mile, so easy to walk everywhere without the chaos. Our room was spacious by city standards, and the bed was genuinely comfortable, which mattered because I usually sleep badly in hotels. What really won us over was the staff. The doorman remembered our names by day two, and when we asked the front desk for restaurant suggestions they gave us three spots we ended up loving, none of them touristy. The little touches, like fresh cookies in the afternoon and a real coffee maker in the room, felt thoughtful. Only tiny gripe was slow elevator on checkout day, but that's a minor thing. Would absolutely stay here again on our next Chicago trip.",fake,1,talbott,glm-5.3-flash,Hotel_LLM_Reviews_glm-5.3-flash.csv,long_positive_unstructured_zero_shot,train
"Despite Sofitel's convenient central location, street noise and thin walls made sleep difficult. Staff were polite but detached, and the overall service felt disappointing for a hotel of this standard.",fake,1,sofitel,gpt5.6-luna,Hotel_LLM_Reviews_gpt5.6_luna.csv,short_negative_structured_zero_shot,train
"Swissotel's fresh, understated decor made the room feel calm, the Wi-Fi was reliable for work, and I slept deeply in the quiet bed. It felt well worth the rate.",fake,1,swissotel,gpt5.6-terra,Hotel_LLM_Reviews_gpt5.6_terra.csv,short_positive_structured_few_shot,train
"For nearly $400 a night I expected far more--tired, dated decor, a room that never felt truly clean, and street noise that wrecked my sleep both nights. Disappointing overall.",fake,1,talbott,glm-5.3-flash,Hotel_LLM_Reviews_glm-5.3-flash.csv,short_negative_structured_zero_shot,train
"Upon first entering the hotel, we were greeted by the most friendly and helpful bellmen I have ever encountered. Through our 2 week stay, they told us to 'have a nice day' as we left in the AM and welcomed us back upon our return. Breakfast is served in the AM, and the servers were as delightful as the bellmen. It was a very enjoyable stay.
",real,0,homewood,human_real,Hotel_Human_VS_HumanFake_relabelled.csv,,train
"My stay at Hotel Allegro was far more disappointing than expected. The location is convenient, but the room felt tired and poorly maintained, with scuffed walls, a stained carpet, and a bathroom fan that rattled all night. The bed was reasonably comfortable, although the thin walls meant I could hear conversations and doors slamming in the corridor until after midnight. Breakfast was another letdown: limited choices, lukewarm eggs, and tables that were not cleared promptly. I mentioned the noise and the fan to reception, but the response was polite without offering any practical solution or room change. The staff were not rude, just strangely disengaged. For the price, I expected a cleaner, quieter, more polished experience. I would probably choose somewhere else next time.",fake,1,allegro,gpt5.6-luna,Hotel_LLM_Reviews_gpt5.6_luna.csv,long_negative_unstructured_zero_shot,train
"Dated, tired decor and a noisy street view that faced a parking lot. Breakfast was a sad cold buffet--stale pastries and watery eggs. Definitely not worth the price.",fake,1,hardrock,glm-5.3-flash,Hotel_LLM_Reviews_glm-5.3-flash.csv,short_negative_structured_zero_shot,train
"Hilton made our weekend easy, with a smooth check-in, quiet room, and genuinely friendly staff. The bed was comfortable, and breakfast was better than expected; I'd happily stay here again.",fake,1,hilton,gpt5.6-luna,Hotel_LLM_Reviews_gpt5.6_luna.csv,short_positive_unstructured_few_shot,train
"Booked a king room expecting the Conrad standard, but this felt like a budget operation wearing a nice suit. The check-in took twenty minutes because they'd lost the reservation, despite my confirmation email. Room was okay at first glance, but the AC rattled all night, and the bathroom had a lingering musty smell no amount of towels could mask. Housekeeping skipped our room entirely one day, and when I called, they said 'we'll get to it' and never did. The bar served a flat, overpriced cocktail, and the bartender seemed annoyed we existed. Location is decent, sure, but you're paying for the name. I've had better nights in a roadside motel. For the price, this was a letdown. Won't be back.",fake,1,conrad,deepseekv4-flash,Hotel_LLM_Reviews_deepseekv4_flash.csv,long_negative_unstructured_few_shot,train
